 536: 1.157799, 1.163844 avg loss, 0.000165 rate, 3.601588 seconds, 68608 images
 537: 1.041340, 1.151594 avg loss, 0.000166 rate, 3.376866 seconds, 68736 images
 538: 1.116703, 1.148105 avg loss, 0.000168 rate, 3.288575 seconds, 68864 images
 539: 0.953824, 1.128676 avg loss, 0.000169 rate, 3.182244 seconds, 68992 images
 544: 0.997479, 1.115557 avg loss, 0.000175 rate, 3.442457 seconds, 69632 images
 545: 1.116372, 1.115638 avg loss, 0.000176 rate, 3.221227 seconds, 69760 images
 546: 1.093499, 1.113424 avg loss, 0.000178 rate, 3.349338 seconds, 69888 images
 547: 1.053774, 1.107459 avg loss, 0.000179 rate, 3.325330 seconds, 70016 images
 552: 1.056254, 1.102339 avg loss, 0.000186 rate, 3.638199 seconds, 70656 images
 553: 1.008232, 1.092928 avg loss, 0.000187 rate, 3.283723 seconds, 70784 images
 554: 0.971311, 1.080766 avg loss, 0.000188 rate, 3.285197 seconds, 70912 images
 555: 1.019728, 1.074663 avg loss, 0.000190 rate, 3.402469 seconds, 71040 images
 560: 1.032181, 1.070414 avg loss, 0.000197 rate, 3.657245 seconds, 71680 images
 561: 1.100683, 1.073441 avg loss, 0.000198 rate, 3.328711 seconds, 71808 images
 562: 1.120060, 1.078103 avg loss, 0.000200 rate, 3.204657 seconds, 71936 images
 563: 0.928067, 1.063100 avg loss, 0.000201 rate, 3.272315 seconds, 72064 images
 568: 1.093381, 1.066128 avg loss, 0.000208 rate, 3.573015 seconds, 72704 images
 569: 1.076877, 1.067203 avg loss, 0.000210 rate, 3.189264 seconds, 72832 images
 570: 0.950994, 1.055582 avg loss, 0.000211 rate, 3.323264 seconds, 72960 images
 571: 1.058457, 1.055869 avg loss, 0.000213 rate, 3.219338 seconds, 73088 images
 576: 0.847087, 1.034991 avg loss, 0.000220 rate, 3.636394 seconds, 73728 images
 577: 0.895999, 1.021092 avg loss, 0.000222 rate, 3.413560 seconds, 73856 images
 578: 0.937117, 1.012694 avg loss, 0.000223 rate, 3.371864 seconds, 73984 images
 579: 0.976429, 1.009068 avg loss, 0.000225 rate, 5.134065 seconds, 74112 images
 584: 0.906528, 0.998814 avg loss, 0.000233 rate, 5.353076 seconds, 74752 images
 585: 0.876140, 0.986547 avg loss, 0.000234 rate, 5.090028 seconds, 74880 images
 586: 0.927492, 0.980641 avg loss, 0.000236 rate, 5.063369 seconds, 75008 images
